step,loss,tps,mfu
246,7.72497,170,8.48
247,7.72265,172,8.58
248,7.71874,142,7.09
249,7.70641,26,1.31
250,7.69605,19,0.95
251,7.68993,16,0.82
252,7.68970,31,1.54
253,7.68850,20,0.98
254,7.67990,25,1.24
255,7.67281,21,1.04
256,7.67297,23,1.14
257,7.66156,24,1.19
258,7.66299,19,0.93
259,7.65727,18,0.89
260,7.65395,20,1.02
261,7.64280,23,1.16
262,7.63757,16,0.82
263,7.62833,12,0.60
264,7.62762,97,4.86
265,7.62209,112,5.57
266,7.61396,117,5.82
267,7.61410,114,5.69
268,7.61362,108,5.41
269,7.60711,114,5.71
270,7.60325,106,5.31
271,7.60323,125,6.23
272,7.59198,144,7.19
273,7.59407,137,6.85
274,7.59095,41,2.06
275,7.58555,178,8.87
276,7.58382,151,7.51
277,7.58250,146,7.27
278,7.57992,39,1.93
279,7.57095,34,1.69
280,7.57542,56,2.79
281,7.56976,104,5.20
282,7.57402,186,9.29
283,7.56650,176,8.81
284,7.55767,207,10.32
285,7.56011,195,9.72
286,7.56088,198,9.90
287,7.55249,136,6.81
288,7.55877,98,4.89
289,7.55596,175,8.71
290,7.54986,123,6.16
291,7.55051,92,4.57
292,7.55176,146,7.29
293,7.55031,130,6.51
294,7.54475,109,5.44
295,7.54535,41,2.05
296,7.55442,154,7.68
297,7.56727,165,8.25
298,7.55199,145,7.24
299,7.54847,140,7.01
300,7.55115,183,9.15
301,7.54916,5,0.25
302,7.56655,192,9.56
303,7.55309,189,9.43
304,7.54615,194,9.68
305,7.54553,182,9.11
306,7.54876,195,9.73
307,7.54627,177,8.86
308,7.53637,183,9.11
309,7.54065,42,2.12
310,7.54019,208,10.37
311,7.54738,164,8.20
312,7.54010,173,8.63
313,7.53943,202,10.09
314,7.53933,195,9.75
315,7.53387,103,5.15
316,7.54621,119,5.95
317,7.52943,184,9.16
318,7.53334,184,9.17
319,7.53371,179,8.92
320,7.52745,163,8.13
321,7.52706,176,8.77
322,7.52724,183,9.13
323,7.52428,178,8.88
324,7.52758,188,9.40
325,7.51928,194,9.67
326,7.51984,177,8.81
327,7.51608,194,9.67
328,7.51469,160,7.96
329,7.51535,148,7.40
330,7.51244,184,9.19
331,7.51587,193,9.64
332,7.50763,170,8.47
333,7.50590,202,10.06
334,7.50435,158,7.91
335,7.50484,172,8.60
336,7.50529,132,6.59
337,7.50325,159,7.91
338,7.50757,176,8.81
339,7.50205,165,8.25
340,7.49252,192,9.59
341,7.49824,198,9.87
342,7.49229,179,8.95
343,7.49366,172,8.58
344,7.49362,185,9.26
345,7.49767,139,6.95
346,7.49265,166,8.28
347,7.48398,88,4.38
348,7.48879,155,7.75
349,7.48555,169,8.44
350,7.48375,160,7.98
351,7.48458,174,8.71
352,7.48229,153,7.62
353,7.48121,144,7.18
354,7.47896,183,9.12
355,7.47849,187,9.33
356,7.46942,149,7.46
357,7.46534,163,8.16
358,7.46498,184,9.19
359,7.46199,162,8.10
360,7.45829,171,8.52
361,7.45197,179,8.93
362,7.45461,187,9.31
363,7.44241,167,8.31
364,7.44547,182,9.08
365,7.43702,188,9.38
366,7.44050,178,8.88
367,7.42231,150,7.47
368,7.42609,151,7.53
369,7.41228,165,8.22
370,7.42067,124,6.16
371,7.41324,107,5.35
372,7.40926,83,4.13
373,7.40594,94,4.70
374,7.40230,80,4.02
375,7.39816,75,3.74
376,7.39611,73,3.63
377,7.39009,112,5.57
378,7.37975,136,6.81
379,7.37928,66,3.30
380,7.37809,180,8.96
381,7.37142,176,8.80
382,7.37314,94,4.67
383,7.36755,172,8.56
384,7.35696,188,9.37
385,7.35808,161,8.04
386,7.35986,181,9.01
