step,loss,tps,mfu
146,10.58524,154,7.68
147,10.54293,20,1.01
148,10.48764,29,1.47
149,10.44215,37,1.84
150,10.39188,22,1.10
151,10.34094,36,1.78
152,10.29438,20,1.02
153,10.24986,23,1.14
154,10.19973,25,1.25
155,10.15692,24,1.22
156,10.11651,20,1.01
157,10.07227,14,0.72
158,10.02740,20,0.98
159,9.98969,19,0.93
160,9.94719,15,0.76
161,9.91584,25,1.23
162,9.87097,17,0.85
163,9.83420,60,3.00
164,9.80366,126,6.26
165,9.76116,134,6.69
166,9.71743,134,6.70
167,9.68221,115,5.75
168,9.64540,128,6.37
169,9.60266,148,7.37
170,9.56408,117,5.84
171,9.52355,149,7.46
172,9.48257,155,7.72
173,9.44750,138,6.87
174,9.40022,172,8.57
175,9.35581,196,9.76
176,9.31322,178,8.86
177,9.27741,202,10.07
178,9.23248,200,9.99
179,9.19315,189,9.43
180,9.14686,200,9.96
181,9.12148,209,10.45
182,9.08540,77,3.84
183,9.04290,31,1.53
184,9.01073,43,2.16
185,8.96840,65,3.24
186,8.93394,213,10.62
187,8.89573,252,12.59
188,8.86411,202,10.07
189,8.83299,201,10.02
190,8.80165,212,10.58
191,8.76360,228,11.38
192,8.73700,245,12.23
193,8.70654,244,12.20
194,8.68126,107,5.32
195,8.64999,174,8.67
196,8.61941,121,6.03
197,8.60049,115,5.74
198,8.57113,183,9.14
199,8.54373,108,5.41
200,8.51795,159,7.93
201,8.48512,17,0.84
202,8.44839,275,13.72
203,8.42661,260,12.99
204,8.39061,233,11.61
205,8.35837,237,11.82
206,8.33447,214,10.69
207,8.30712,206,10.27
208,8.27300,258,12.89
209,8.25639,245,12.24
210,8.22543,191,9.53
211,8.20038,244,12.16
212,8.17697,145,7.25
213,8.14373,203,10.15
214,8.12103,55,2.76
215,8.10052,209,10.42
216,8.08376,185,9.22
217,8.05640,175,8.75
218,8.04148,225,11.22
219,8.02979,202,10.07
220,8.01947,171,8.55
221,8.00097,227,11.34
222,7.98723,251,12.55
223,7.97885,214,10.69
224,7.95964,217,10.81
225,7.94987,222,11.08
226,7.93630,247,12.34
227,7.91729,110,5.47
228,7.90880,206,10.29
229,7.89344,237,11.85
230,7.88525,230,11.49
231,7.87788,224,11.20
232,7.86637,231,11.53
233,7.85932,228,11.40
234,7.85560,114,5.67
235,7.84324,166,8.28
236,7.83582,218,10.87
237,7.82585,216,10.76
238,7.82215,227,11.34
239,7.80568,202,10.10
240,7.79561,208,10.37
241,7.78355,216,10.75
242,7.77955,196,9.76
243,7.76551,223,11.14
244,7.76256,218,10.86
245,7.76119,236,11.75
246,7.74742,255,12.71
247,7.74178,200,9.99
248,7.73857,211,10.55
249,7.72643,230,11.47
250,7.72403,205,10.24
251,7.71330,202,10.09
252,7.70296,200,9.96
253,7.69923,217,10.84
254,7.69691,201,10.05
255,7.68713,210,10.47
256,7.69121,252,12.56
257,7.67460,245,12.22
258,7.67112,241,12.02
259,7.67102,198,9.88
260,7.66459,145,7.22
261,7.66326,90,4.49
262,7.66561,223,11.14
263,7.65260,240,12.00
264,7.64801,228,11.39
265,7.64359,231,11.51
266,7.64092,184,9.16
267,7.64180,225,11.24
268,7.63416,237,11.81
269,7.63726,238,11.90
270,7.63014,238,11.90
271,7.62337,225,11.21
272,7.61838,228,11.37
273,7.61566,200,9.99
274,7.62015,207,10.32
275,7.61249,223,11.14
276,7.61602,239,11.93
277,7.60922,167,8.35
278,7.60240,199,9.93
279,7.60648,215,10.72
280,7.60356,204,10.18
281,7.60450,211,10.53
282,7.60137,241,12.03
283,7.59360,43,2.15
284,7.60838,236,11.77
285,7.60174,165,8.22
286,7.59664,223,11.12
287,7.59997,200,9.97
288,7.59450,169,8.43
289,7.59153,140,7.00
290,7.59339,209,10.43
291,7.59333,219,10.95
292,7.58751,190,9.49
293,7.58217,199,9.94
294,7.58797,93,4.62
295,7.57702,164,8.19
296,7.58219,178,8.88
297,7.58777,203,10.11
298,7.59105,218,10.90
299,7.58623,176,8.77
300,7.58420,229,11.44
301,7.59107,17,0.83
302,7.57527,199,9.92
303,7.57470,203,10.11
304,7.58097,209,10.41
305,7.57411,243,12.15
306,7.57898,194,9.69
307,7.58534,164,8.17
308,7.58346,204,10.16
309,7.57860,190,9.48
310,7.57190,138,6.91
311,7.58051,103,5.16
312,7.57377,99,4.94
313,7.57654,148,7.40
314,7.57420,88,4.38
315,7.58564,109,5.42
316,7.59066,103,5.15
317,7.58007,105,5.22
318,7.56910,111,5.51
319,7.56338,134,6.69
320,7.57578,182,9.07
321,7.58453,88,4.37
322,7.57245,168,8.41
323,7.56520,173,8.64
324,7.56854,170,8.48
325,7.57712,119,5.92
326,7.59052,204,10.19
327,7.57797,198,9.89
328,7.56686,179,8.94
329,7.56341,257,12.84
330,7.56161,209,10.41
331,7.56893,218,10.87
332,7.57364,244,12.19
333,7.56619,219,10.94
334,7.56752,201,10.03
335,7.56029,227,11.31
336,7.56235,182,9.07
337,7.56524,202,10.07
338,7.56019,186,9.27
339,7.55980,214,10.69
340,7.55732,190,9.47
341,7.57271,218,10.86
342,7.58957,198,9.88
343,7.57923,204,10.20
344,7.56525,205,10.24
345,7.55537,220,10.99
346,7.56648,201,10.04
347,7.57028,212,10.57
348,7.57829,211,10.53
349,7.59810,98,4.87
350,7.61962,104,5.17
351,7.61804,203,10.14
352,7.59116,246,12.29
353,7.58368,193,9.61
354,7.56930,232,11.57
355,7.55664,240,11.98
356,7.55906,225,11.24
357,7.55928,230,11.50
358,7.56122,41,2.05
359,7.57368,205,10.24
360,7.57222,200,10.00
361,7.55363,177,8.82
362,7.54516,196,9.76
363,7.55335,215,10.75
364,7.53844,209,10.45
365,7.54964,230,11.48
366,7.55075,201,10.04
367,7.56510,227,11.34
368,7.58899,265,13.22
369,7.55616,226,11.29
370,7.55487,244,12.17
371,7.53926,242,12.07
372,7.53869,229,11.43
373,7.53893,255,12.71
374,7.54265,225,11.24
375,7.53985,200,9.96
376,7.55334,201,10.02
377,7.55361,232,11.58
378,7.55753,192,9.60
379,7.55376,238,11.90
380,7.54816,23,1.17
381,7.53780,42,2.08
382,7.54031,188,9.38
383,7.53340,230,11.48
384,7.53001,197,9.85
385,7.54084,176,8.78
386,7.52973,238,11.87
387,7.54989,183,9.11
388,7.56179,204,10.20
389,7.53957,180,8.96
390,7.53628,218,10.87
391,7.53542,247,12.35
392,7.53383,222,11.06
393,7.53350,243,12.11
394,7.53440,215,10.71
395,7.54197,262,13.10
396,7.55505,227,11.30
397,7.55073,236,11.78
398,7.55680,236,11.79
399,7.54347,193,9.62
400,7.53424,105,5.23
401,7.53260,16,0.82
402,7.52908,194,9.66
403,7.51836,217,10.85
404,7.52142,244,12.19
405,7.51667,184,9.17
406,7.52418,173,8.64
407,7.51478,182,9.10
408,7.51733,211,10.51
409,7.52750,142,7.10
410,7.52918,42,2.09
411,7.53857,43,2.15
412,7.52101,234,11.69
413,7.52694,195,9.71
414,7.52088,43,2.15
415,7.52105,247,12.34
416,7.52654,232,11.57
417,7.51673,42,2.11
418,7.51507,42,2.12
419,7.51807,44,2.19
420,7.50295,42,2.08
421,7.49994,235,11.72
422,7.49081,43,2.15
423,7.50065,41,2.06
424,7.52195,41,2.04
425,7.54370,41,2.06
426,7.54527,43,2.13
427,7.52618,42,2.09
428,7.50413,44,2.19
429,7.49427,192,9.56
430,7.48753,41,2.03
431,7.47334,23,1.13
432,7.47865,21,1.05
433,7.48777,43,2.15
434,7.47858,42,2.11
435,7.48993,22,1.09
436,7.48596,42,2.09
437,7.48125,43,2.13
438,7.47206,42,2.07
439,7.46459,41,2.06
440,7.45766,148,7.40
441,7.47275,182,9.07
442,7.45854,203,10.14
443,7.44965,219,10.91
444,7.44851,222,11.06
445,7.45118,211,10.53
446,7.45210,227,11.34
447,7.44022,198,9.86
448,7.44286,207,10.32
449,7.43999,243,12.11
450,7.43413,241,12.04
451,7.43489,265,13.25
452,7.42569,259,12.90
453,7.42453,226,11.30
454,7.42133,269,13.43
455,7.42240,266,13.27
456,7.41999,237,11.82
457,7.41149,278,13.87
458,7.41226,37,1.86
459,7.41008,40,2.00
460,7.40226,208,10.40
461,7.40227,204,10.17
462,7.39895,256,12.76
463,7.39439,190,9.49
464,7.39803,188,9.38
465,7.38356,194,9.70
466,7.37819,208,10.37
467,7.38164,227,11.33
468,7.37954,174,8.70
469,7.39459,221,11.05
470,7.37434,200,9.96
471,7.38428,203,10.14
472,7.36934,187,9.31
473,7.39088,174,8.69
474,7.40678,163,8.16
475,7.37907,236,11.78
476,7.36688,204,10.19
477,7.38945,257,12.83
478,7.45483,161,8.05
479,7.36403,221,11.00
480,7.35882,246,12.30
481,7.37144,180,8.97
482,7.41085,221,11.02
483,7.40446,211,10.53
484,7.36857,208,10.36
485,7.35553,213,10.63
486,7.34265,277,13.84
487,7.34767,232,11.60
488,7.40195,196,9.80
489,7.34635,203,10.15
490,7.33335,227,11.34
491,7.33825,236,11.79
492,7.36388,240,11.98
493,7.38178,158,7.88
494,7.40399,261,13.00
495,7.36319,154,7.68
496,7.33893,242,12.06
497,7.31998,203,10.14
498,7.32817,194,9.67
499,7.33223,215,10.71
500,7.34640,214,10.67
501,7.32493,16,0.82
502,7.31719,263,13.14
503,7.31024,255,12.73
504,7.30711,199,9.91
505,7.30481,205,10.24
506,7.31525,202,10.08
507,7.31356,214,10.67
508,7.29514,167,8.34
509,7.29094,183,9.14
510,7.29091,258,12.89
511,7.29626,220,10.95
512,7.29392,200,9.98
513,7.29115,281,14.01
514,7.28615,209,10.45
515,7.28699,215,10.71
516,7.28264,163,8.14
517,7.28605,198,9.87
518,7.28086,235,11.72
519,7.27211,178,8.87
520,7.27582,228,11.39
521,7.28088,156,7.77
522,7.26752,248,12.39
523,7.25457,273,13.60
524,7.26790,195,9.74
525,7.27230,238,11.87
526,7.28115,249,12.43
527,7.26678,196,9.80
528,7.26501,205,10.22
529,7.26497,241,12.02
530,7.26254,238,11.87
531,7.24613,209,10.45
532,7.25370,238,11.86
533,7.25059,185,9.25
534,7.25940,172,8.57
535,7.26077,235,11.71
536,7.27385,187,9.31
537,7.25292,194,9.69
538,7.25098,263,13.15
539,7.27584,201,10.05
540,7.31834,225,11.22
541,7.27754,164,8.18
542,7.26796,195,9.73
543,7.27384,200,10.00
544,7.28613,278,13.85
545,7.25366,263,13.11
546,7.24633,248,12.38
547,7.25903,197,9.85
548,7.28464,187,9.31
549,7.28587,170,8.47
550,7.27604,174,8.68
551,7.29123,191,9.54
552,7.30926,198,9.86
553,7.28864,206,10.28
554,7.27135,200,9.98
555,7.26197,205,10.22
556,7.27744,259,12.93
557,7.29303,212,10.58
558,7.29108,163,8.13
559,7.29002,162,8.09
560,7.28124,254,12.67
561,7.28838,182,9.09
562,7.28706,218,10.89
563,7.31688,198,9.87
564,7.34148,220,10.98
565,7.30267,214,10.66
566,7.29384,204,10.18
567,7.29929,245,12.25
568,7.29965,268,13.36
569,7.29227,228,11.38
570,7.29749,200,9.99
571,7.32063,281,14.02
572,7.36050,256,12.75
573,7.40350,249,12.42
574,7.33997,227,11.33
575,7.31356,230,11.47
576,7.31947,183,9.16
577,7.34137,208,10.35
578,7.37727,214,10.68
579,7.35741,199,9.92
580,7.35292,216,10.80
581,7.34858,248,12.39
501,7.32862,17,0.85
502,7.30955,289,14.44
503,7.30700,286,14.29
504,7.30829,288,14.39
505,7.30090,293,14.61
506,7.31227,292,14.58
507,7.30581,290,14.48
508,7.30069,290,14.48
509,7.31110,292,14.58
510,7.29911,292,14.55
511,7.30098,292,14.57
512,7.28549,293,14.61
513,7.29123,292,14.58
514,7.29129,292,14.59
515,7.28310,293,14.61
516,7.27972,283,14.14
517,7.27916,291,14.50
518,7.27659,292,14.57
519,7.28390,293,14.61
520,7.28392,287,14.32
521,7.26726,291,14.55
522,7.26543,293,14.60
523,7.26115,293,14.60
524,7.25976,285,14.23
525,7.27337,292,14.58
526,7.26360,294,14.65
527,7.25180,221,11.02
528,7.25473,289,14.43
529,7.26261,259,12.93
530,7.25041,281,14.02
531,7.25850,293,14.61
532,7.25182,290,14.46
533,7.24785,293,14.61
534,7.25543,289,14.42
535,7.25425,291,14.53
536,7.24127,288,14.39
537,7.24584,293,14.60
538,7.24291,287,14.34
539,7.22721,292,14.57
540,7.23100,289,14.42
541,7.24283,292,14.57
542,7.23422,289,14.42
543,7.23694,293,14.60
544,7.22732,292,14.55
545,7.22541,286,14.25
546,7.22056,289,14.42
547,7.23300,285,14.20
548,7.21930,290,14.49
549,7.23216,291,14.53
550,7.22807,112,5.61
551,7.22754,206,10.27
552,7.22869,284,14.18
553,7.23695,278,13.89
554,7.22321,286,14.29
555,7.24669,287,14.31
556,7.26035,268,13.38
557,7.23592,252,12.56
558,7.24482,286,14.29
559,7.26986,281,14.02
560,7.26811,287,14.33
561,7.24581,283,14.11
562,7.26558,276,13.77
563,7.29949,284,14.20
564,7.29036,289,14.43
565,7.27379,286,14.29
566,7.27000,283,14.13
567,7.29697,282,14.05
568,7.27657,290,14.49
569,7.28652,287,14.33
570,7.33405,286,14.27
571,7.32693,285,14.21
572,7.31019,289,14.43
573,7.30464,286,14.29
574,7.30724,282,14.07
575,7.30418,286,14.28
576,7.30501,290,14.45
577,7.31623,288,14.39
578,7.33887,285,14.24
579,7.31996,291,14.52
580,7.34178,287,14.33
581,7.35760,288,14.36
582,7.36414,290,14.45
583,7.32771,291,14.51
584,7.33347,290,14.46
585,7.37212,287,14.35
586,7.34985,288,14.38
587,7.34300,291,14.51
588,7.34850,282,14.06
589,7.40439,290,14.49
590,7.39834,283,14.11
591,7.36838,290,14.48
592,7.35230,291,14.54
593,7.35802,291,14.50
594,7.40688,289,14.44
595,7.34711,292,14.58
596,7.35700,286,14.29
597,7.37937,291,14.51
598,7.36989,289,14.43
599,7.34453,277,13.81
600,7.35208,292,14.58
601,7.34874,17,0.85
602,7.35055,286,14.30
603,7.33078,292,14.58
604,7.34277,290,14.50
605,7.35844,291,14.52
606,7.34540,293,14.63
607,7.32873,291,14.51
608,7.32729,285,14.23
609,7.33252,291,14.52
610,7.32135,289,14.42
611,7.32690,293,14.61
612,7.31615,277,13.83
613,7.31555,289,14.43
614,7.31707,290,14.49
615,7.29862,282,14.10
616,7.29396,291,14.54
617,7.29056,290,14.45
618,7.30772,291,14.51
619,7.29103,233,11.65
620,7.28769,289,14.40
621,7.28547,292,14.57
622,7.26591,288,14.36
623,7.26638,290,14.46
624,7.28442,284,14.18
625,7.26488,285,14.24
626,7.29475,283,14.13
627,7.31581,294,14.65
628,7.26300,279,13.94
629,7.26406,284,14.19
630,7.25193,290,14.47
631,7.26900,290,14.46
632,7.24078,282,14.06
633,7.25458,288,14.38
634,7.23583,290,14.48
635,7.23599,238,11.90
636,7.22099,243,12.13
637,7.20873,283,14.13
638,7.22889,285,14.24
639,7.21196,284,14.17
640,7.19514,290,14.49
641,7.21525,249,12.44
